Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3162,100,12,674,-2,4075,239,224,113,3883,WA1,ST29,1
3227,15,11,60,10,3485,210,216,142,2345,WA3,ST31,1
3202,228,12,642,135,6138,203,251,184,1682,WA1,ST30,2
3033,271,15,162,65,2461,180,244,202,1140,WA3,ST31,2
2630,152,14,0,0,1624,236,240,131,973,WA1,ST30,2
3168,311,15,150,40,1354,179,228,189,2281,WA1,ST29,1
3386,357,13,685,47,1348,199,216,154,1507,WA3,ST38,7
3127,112,7,67,-11,1437,232,233,133,2230,WA1,ST23,1
2947,151,15,582,71,2708,238,239,126,1936,WA3,ST26,2
2728,32,11,612,104,1289,218,217,134,787,WA1,ST12,2
2537,315,33,180,123,342,117,194,207,932,WA4,ST10,3
3372,201,13,577,172,2514,214,251,169,819,WA3,ST32,1
2458,69,35,242,104,642,232,151,21,700,WA3,ST10,2
3031,52,5,511,47,4245,223,228,141,1560,WA1,ST29,2
3211,45,5,376,84,2215,222,228,142,3384,WA3,ST31,1
3187,145,18,240,29,2475,242,234,115,607,WA3,ST31,1
3126,5,8,270,41,600,210,225,152,942,WA2,ST22,1
3315,56,17,457,-27,3376,229,201,99,1861,WA3,ST39,7
2541,299,18,201,69,531,167,230,202,671,WA4,ST10,2
2845,89,12,228,53,4348,238,220,111,5255,WA1,ST29,1
2710,310,22,30,15,1276,153,218,202,1383,WA3,ST24,1
2885,58,9,218,14,1708,227,221,127,2248,WA1,ST29,2
2887,342,14,330,92,1756,190,218,166,1776,WA3,ST34,6
3074,162,20,987,172,3157,235,240,126,1678,WA3,ST33,2
2745,4,13,67,0,1120,202,214,148,960,WA3,ST33,1
2271,35,25,446,185,543,209,178,92,541,WA4,ST6,3
3091,180,10,360,22,900,224,247,155,3104,WA3,ST31,2
2959,73,15,30,-5,3740,236,211,103,1456,WA1,ST23,2
2668,272,36,552,210,741,105,224,245,1920,WA3,ST28,2
3158,181,10,108,-1,2527,224,247,155,1015,WA3,ST32,1
2504,133,11,162,49,872,237,235,127,841,WA3,ST4,3
3230,34,3,424,20,4696,219,232,149,2297,WA1,ST38,1
2949,90,11,120,20,4952,237,222,114,6252,WA1,ST12,2
3032,44,13,335,27,4533,222,210,120,579,WA1,ST30,2
2898,196,18,85,32,3376,213,252,167,2063,WA3,ST32,2
3257,168,6,466,144,1231,225,242,152,2116,WA1,ST29,1
2475,325,21,120,44,1269,163,211,186,433,WA4,ST6,6
3293,50,18,351,59,1620,225,197,99,2287,WA1,ST39,1
2908,320,11,95,2,3500,191,229,178,1584,WA1,ST29,2
3297,263,24,124,50,1142,152,243,225,1554,WA2,ST22,1
2913,156,5,42,1,800,225,240,150,2071,WA1,ST23,2
2958,264,21,210,82,2934,163,245,218,2448,WA1,ST29,2
3280,123,20,661,164,2728,250,220,88,2661,WA3,ST33,1
3074,275,22,379,33,1664,156,239,220,3293,WA1,ST29,1
2830,18,22,598,303,1167,198,189,121,953,WA3,ST33,2
3093,194,18,664,117,6155,215,252,165,1536,WA1,ST29,1
2569,214,5,95,15,331,215,245,166,1376,WA1,ST12,2
2903,16,16,658,299,1182,204,205,134,716,WA3,ST33,2
2887,328,20,283,50,2563,167,212,183,2353,WA1,ST29,2
3319,132,19,268,60,2274,247,226,99,1976,WA3,ST32,1
3400,130,8,782,245,1468,234,236,133,1184,WA2,ST31,1
2973,39,24,300,83,2455,213,180,91,1900,WA3,ST33,1
2938,20,10,162,25,3645,213,218,141,4315,WA1,ST12,2
2893,55,20,30,-1,4950,228,194,91,228,WA1,ST30,2
3069,127,9,192,33,1485,236,234,129,2639,WA1,ST29,2
3255,285,18,330,71,277,166,237,209,1557,WA2,ST23,1
3021,29,10,192,23,1731,217,219,137,1698,WA1,ST29,1
3296,30,11,335,77,3031,216,215,133,2289,WA1,ST29,1
3243,106,7,283,9,3551,232,232,132,1771,WA1,ST38,7
2782,19,14,30,2,1084,209,210,136,2140,WA3,ST24,2
3142,22,8,192,14,1590,215,222,144,1060,WA2,ST24,2
3146,278,10,648,38,5870,193,242,189,1299,WA1,ST29,2
2850,299,11,85,6,1253,189,236,187,1365,WA3,ST23,1
3122,87,9,295,40,1950,234,225,123,3302,WA3,ST24,1
3187,135,25,297,55,3620,249,220,83,309,WA3,ST33,1
3058,102,14,480,17,1072,242,221,105,1865,WA3,ST23,2
2719,52,5,540,102,1095,223,228,141,782,WA1,ST12,2
3112,315,10,108,10,4163,193,232,178,1275,WA1,ST29,1
2677,99,22,335,-3,1201,250,204,71,3636,WA1,ST29,2
2734,52,13,85,-4,1231,227,212,117,2222,WA1,ST29,2
3060,97,11,0,0,2173,239,224,114,3500,WA3,ST24,1
3242,28,4,256,43,1095,218,232,150,914,WA2,ST32,1
3216,84,9,108,26,1773,233,225,123,1510,WA2,ST23,1
2681,135,14,162,66,1170,241,233,117,2268,WA1,ST30,2
3291,52,8,295,12,1350,225,223,132,2147,WA1,ST38,1
2631,31,16,42,8,582,214,203,121,1266,WA3,ST33,2
2903,85,8,300,33,4161,232,227,128,6307,WA1,ST12,2
3147,225,11,212,12,1936,206,250,181,726,WA3,ST32,1
2910,16,11,390,41,2125,211,217,142,1878,WA3,ST31,2
2751,165,25,295,69,3520,232,239,122,1824,WA3,ST13,2
3207,238,21,524,7,2958,178,253,207,124,WA3,ST32,2
3018,219,10,828,99,5877,209,250,176,3670,WA1,ST20,2
3105,60,15,1371,187,2971,231,207,105,1348,WA3,ST32,2
3130,47,12,513,104,1651,224,214,122,3494,WA3,ST33,1
2378,15,18,162,95,1209,201,200,132,1128,WA4,ST10,6
3165,15,13,371,23,3226,208,213,141,4066,WA1,ST29,1
2713,258,30,201,60,1794,135,240,234,1354,WA3,ST13,2
3165,235,18,218,55,1533,186,253,201,2337,WA3,ST33,1
3070,309,10,30,6,3867,193,234,180,430,WA1,ST20,1
3111,77,4,417,33,1813,226,231,141,2864,WA3,ST32,1
2784,46,23,108,24,1500,220,184,88,2536,WA3,ST10,2
3367,83,9,547,133,1832,233,224,122,1992,WA1,ST38,1
2637,69,12,242,-9,1091,232,217,115,1537,WA3,ST11,2
3245,36,11,277,32,6166,219,216,131,655,WA1,ST22,1
2359,322,23,300,150,1006,156,210,191,85,WA4,ST10,3
3094,212,8,319,-29,2272,214,247,170,1746,WA3,ST32,2
3001,54,20,511,13,1828,227,192,89,1052,WA3,ST31,1
2699,98,11,295,99,1142,238,224,115,2440,WA1,ST30,2
2798,306,28,201,60,2520,131,211,214,470,WA3,ST33,1
3149,120,11,95,17,6512,240,230,119,2058,WA1,ST29,1
2351,174,10,0,0,430,226,245,152,854,WA3,ST2,3
2583,209,8,162,36,1260,214,248,169,1120,WA3,ST4,3
3037,352,19,108,21,3102,183,204,156,1142,WA3,ST32,1
2945,39,13,306,51,4526,220,211,123,1871,WA1,ST29,2
2863,18,2,85,16,4827,217,234,154,4520,WA1,ST29,2
3070,178,7,127,8,3758,224,245,155,582,WA1,ST29,2
2200,103,15,60,7,124,244,220,101,300,WA4,ST2,3
2175,346,31,60,31,1273,146,174,157,1436,WA4,ST10,3
3048,138,12,85,11,1371,239,236,125,2553,WA1,ST29,2
3074,314,16,212,45,3368,176,226,189,458,WA1,ST29,1
2250,260,28,331,112,720,141,241,232,1515,WA4,ST1,3
2648,6,29,67,42,2190,172,171,125,7111,WA1,ST29,2
2977,75,8,255,18,3606,230,225,127,1015,WA1,ST29,2
2955,113,8,95,23,4377,234,232,129,5336,WA1,ST29,2
3143,0,9,702,126,1667,207,223,154,2430,WA3,ST31,1
3054,111,15,540,65,2659,245,222,102,2726,WA3,ST26,2
3133,9,17,725,262,725,199,204,139,1781,WA1,ST30,1
3157,133,11,242,41,446,237,235,127,2334,WA1,ST22,1
2657,334,10,212,67,1260,197,227,169,1107,WA1,ST29,2
2982,180,11,365,-12,4482,224,247,154,2210,WA1,ST29,2
3129,83,4,335,27,4562,225,233,143,1797,WA1,ST22,1
3043,114,9,551,-21,1237,235,232,128,1308,WA1,ST29,2
2939,222,35,713,2,3889,155,247,206,1350,WA3,ST13,2
3102,129,16,300,87,684,245,228,107,1129,WA3,ST33,2
2229,281,17,272,157,90,171,239,207,467,WA4,ST2,3
2921,7,11,85,21,4285,207,218,148,4292,WA1,ST29,2
2975,85,10,319,16,3544,235,222,118,1068,WA1,ST29,2
2560,303,8,85,12,658,198,236,178,1956,WA1,ST30,2
2975,180,14,618,92,2793,225,248,153,1950,WA3,ST33,2
2678,170,16,404,234,421,230,245,141,845,WA3,ST3,2
2224,280,25,376,149,458,145,234,224,306,WA4,ST10,3
2740,72,25,162,91,1319,239,184,61,902,WA3,ST13,2
3047,30,9,108,10,6823,218,220,138,3092,WA1,ST20,2
3005,320,4,67,3,5294,209,236,165,2419,WA1,ST23,1
2532,138,13,108,11,1978,239,235,123,1871,WA3,ST2,3
2977,79,13,0,0,4417,237,216,107,192,WA1,ST29,1
3191,329,10,228,42,4487,196,228,172,3282,WA1,ST29,1
3317,272,7,503,36,3525,201,243,181,1458,WA1,ST39,1
3040,128,13,42,7,1180,241,232,118,2550,WA1,ST29,2
3016,17,7,0,0,1128,214,225,147,2802,WA3,ST22,1
2954,9,7,495,147,1254,212,225,151,2574,WA3,ST32,2
3034,300,13,313,148,6096,184,235,191,4879,WA1,ST24,2
2998,240,16,362,95,5295,187,252,200,1357,WA1,ST30,2
3145,138,15,60,-4,3042,242,233,117,1041,WA3,ST33,2
2913,347,23,255,68,828,170,196,160,1839,WA3,ST24,2
3162,294,23,390,66,1611,148,226,216,2525,WA3,ST33,1
3179,72,13,124,17,3905,234,215,111,1487,WA1,ST22,1
3172,153,15,270,55,660,237,240,130,1932,WA3,ST32,2
2587,173,8,362,84,841,225,244,152,1350,WA3,ST2,3
2018,117,39,108,70,180,252,172,8,499,WA4,ST1,3
2602,22,10,277,92,1493,214,218,140,1642,WA3,ST2,3
3052,117,13,480,64,1101,242,228,113,1878,WA3,ST23,2
3050,315,11,277,56,2638,191,231,180,1905,WA3,ST32,2
3205,73,9,127,3,1523,231,223,124,579,WA3,ST32,2
3018,82,9,234,27,6003,233,225,124,3523,WA1,ST29,2
3294,98,10,390,123,2742,237,225,118,3211,WA3,ST32,7
2751,72,13,0,0,1208,235,214,109,2054,WA3,ST20,1
2797,319,25,234,39,2089,147,208,196,553,WA3,ST33,2
2908,62,4,60,-2,2287,223,232,145,339,WA3,ST13,1
3417,228,15,571,125,2780,197,253,190,1388,WA3,ST32,1
2837,49,10,537,49,3337,224,219,128,6319,WA1,ST12,2
2742,329,22,30,14,3368,162,209,183,1530,WA1,ST16,1
2995,123,16,324,100,5289,245,227,106,495,WA1,ST30,2
2742,99,14,30,7,1584,242,220,104,2096,WA1,ST12,2
3048,25,12,108,20,2881,213,213,134,1226,WA3,ST31,2
3270,197,25,170,36,1024,205,251,168,1034,WA1,ST22,1
3269,63,1,400,90,4741,220,236,153,3203,WA1,ST29,1
2773,80,7,42,2,878,230,228,131,2362,WA3,ST11,2
3387,198,17,446,86,2925,213,252,169,1442,WA3,ST32,1
3183,17,13,0,0,2925,208,212,139,4056,WA1,ST39,1
2967,268,14,162,25,2661,183,245,201,607,WA3,ST33,2
2929,302,16,85,14,4858,172,230,198,1899,WA1,ST29,5
3226,304,10,30,7,4419,192,235,183,2432,WA3,ST32,1
3216,309,29,457,131,402,131,208,211,1140,WA2,ST22,1
3205,352,14,417,70,573,195,216,158,2695,WA2,ST23,2
2961,89,15,277,38,3712,241,215,100,1471,WA1,ST30,2
2698,270,4,480,-12,924,208,241,171,1584,WA1,ST12,2
3207,343,24,1057,413,1556,165,196,166,911,WA3,ST33,1
2885,226,15,228,75,1624,199,253,189,750,WA3,ST13,2
2599,43,10,0,0,768,222,219,131,1544,WA3,ST33,1
3084,100,20,362,77,3174,248,209,80,1806,WA3,ST33,2
2684,36,15,466,30,774,218,207,121,1350,WA1,ST29,2
3161,96,2,0,0,819,223,236,149,2548,WA1,ST23,1
2825,127,23,402,124,1846,251,219,83,2118,WA3,ST4,2
3364,88,7,655,35,999,231,229,131,4294,WA2,ST38,1
3159,333,18,510,142,845,175,214,176,1825,WA3,ST24,1
2949,68,13,150,20,5108,233,213,109,3009,WA1,ST16,1
2240,333,34,255,140,1187,125,176,179,1130,WA4,ST10,3
3079,129,27,360,106,2791,252,212,70,1399,WA3,ST33,2
2750,252,2,90,0,1884,214,240,164,785,WA1,ST12,2
3021,175,14,390,42,1530,227,247,149,1154,WA1,ST29,2
3116,132,23,297,56,4221,250,221,86,741,WA1,ST30,2
2637,354,19,95,22,886,186,204,154,1717,WA3,ST33,2
2690,99,7,342,82,537,233,230,130,108,WA3,ST10,3
2745,21,7,30,2,1080,216,226,147,2244,WA3,ST17,2
2706,150,24,120,18,1989,242,231,103,2804,WA1,ST30,2
2843,64,14,484,77,2089,232,210,107,785,WA3,ST11,2
3079,336,8,60,4,2215,203,230,166,2239,WA3,ST20,1
2996,301,7,371,40,1390,201,237,176,1463,WA3,ST31,2
2590,38,11,212,42,646,220,215,128,3046,WA1,ST29,2
3180,99,16,242,34,4920,245,216,95,1443,WA1,ST30,1
2798,17,9,30,0,1100,213,222,145,2103,WA3,ST11,2
2745,21,10,268,21,1359,214,219,141,2362,WA1,ST29,2
2864,254,3,268,42,2352,212,242,168,2541,WA1,ST29,2
3024,306,15,90,29,2377,178,231,192,1503,WA3,ST32,2
3293,99,20,42,11,1879,248,209,81,2809,WA1,ST39,1
3001,56,7,630,29,5590,225,225,134,6456,WA1,ST20,1
2538,337,26,210,95,666,155,194,173,1053,WA3,ST33,2
2780,81,11,451,-7,808,235,221,117,1061,WA3,ST11,2
2920,44,19,633,186,376,221,195,102,1218,WA3,ST11,2
3283,114,10,902,167,2372,238,230,122,2353,WA3,ST33,1
3093,326,7,418,60,323,203,232,168,1195,WA3,ST32,2
2570,356,24,30,11,1290,175,190,147,6648,WA1,ST29,2
2799,82,20,180,89,309,243,201,79,1383,WA1,ST30,5
2628,254,33,120,58,1209,129,240,236,1172,WA3,ST28,2
3100,72,9,67,3,3668,231,223,125,201,WA3,ST23,1
3062,87,13,153,22,1259,239,217,106,2177,WA1,ST29,2
3262,184,7,272,52,2130,222,245,157,1857,WA3,ST32,1
2236,270,30,382,188,424,128,233,236,828,WA4,ST1,3
3007,327,20,127,29,242,169,214,183,1465,WA3,ST31,2
3178,72,13,30,13,4406,234,215,111,3126,WA1,ST23,1
2691,318,17,30,11,1461,173,222,188,3268,WA1,ST20,2
3178,149,14,408,65,3543,237,239,128,3303,WA1,ST29,2
3078,62,19,691,-96,1120,232,197,90,872,WA1,ST29,1
3377,88,12,534,86,2014,238,220,112,2871,WA2,ST38,1
2584,124,15,30,-5,1216,245,227,107,5145,WA1,ST18,2
3091,60,5,182,6,1315,224,229,140,1503,WA2,ST23,2
2629,88,11,430,90,1500,237,221,114,1852,WA3,ST4,2
3004,45,6,600,85,5235,222,227,140,5600,WA1,ST12,2
3192,67,20,201,14,1505,236,196,84,666,WA3,ST39,7
2684,47,8,268,21,1637,223,223,135,6170,WA1,ST12,2
2396,340,19,457,126,976,176,209,169,1140,WA4,ST10,6
2976,141,3,342,39,3941,224,238,150,2313,WA1,ST12,2
3276,156,16,268,35,1463,237,240,129,2850,WA1,ST22,1
2978,45,1,150,19,4758,219,236,154,5516,WA1,ST12,2
3258,257,8,153,26,997,202,245,181,1744,WA2,ST23,1
3037,350,12,306,46,2971,198,220,160,5963,WA1,ST29,2
3318,191,8,638,91,3719,220,247,161,2422,WA1,ST23,1
2990,0,6,30,7,2550,211,228,155,2264,WA3,ST23,1
3255,140,16,524,42,5484,242,234,116,1454,WA1,ST22,1
2888,224,30,60,1,2569,167,251,206,1473,WA3,ST13,2
3111,230,8,175,27,1230,208,247,176,1442,WA3,ST23,1
3082,286,13,360,-38,2005,183,239,196,1972,WA3,ST32,2
3381,223,9,234,32,1988,209,249,176,2259,WA3,ST32,1
2734,100,18,153,82,180,247,212,88,1120,WA1,ST30,5
2975,73,5,30,3,4955,226,230,139,6033,WA1,ST12,2
2734,13,13,0,0,1445,207,213,142,2496,WA3,ST17,2
3279,266,12,30,6,6024,189,245,196,430,WA1,ST38,1
2873,11,24,335,60,3197,187,184,126,2371,WA3,ST33,1
3253,267,15,752,187,6233,179,245,204,1860,WA1,ST29,2
2989,317,15,67,27,283,179,225,186,474,WA2,ST22,1
3014,121,10,30,-3,426,237,232,125,1062,WA1,ST22,1
3057,130,21,268,62,4057,249,222,90,2614,WA1,ST29,2
2952,61,12,30,3,5346,230,215,117,2481,WA1,ST16,1
3331,129,36,42,24,1848,251,194,38,785,WA3,ST40,7
3014,77,15,242,44,2263,238,211,100,661,WA1,ST29,1
2846,274,22,390,200,1048,156,239,220,1752,WA3,ST33,2
3165,86,7,458,23,3073,230,229,132,4782,WA1,ST29,1
2562,100,5,339,116,600,229,233,138,1022,WA3,ST2,6
2611,45,3,0,0,1885,220,232,149,4668,WA1,ST30,2
3057,225,1,510,66,5788,217,240,160,5019,WA1,ST12,1
2784,39,6,418,67,685,221,226,141,2527,WA1,ST29,2
2816,29,17,247,37,1473,212,202,121,2647,WA3,ST26,2
2928,204,26,234,-2,2333,196,252,177,1595,WA3,ST13,2
2514,5,25,108,6,1699,178,182,133,1694,WA3,ST10,6
2501,30,27,120,64,693,201,171,93,1507,WA3,ST31,2
3175,84,19,558,121,3087,243,205,85,751,WA3,ST33,1
2732,274,23,120,53,2006,151,238,223,170,WA3,ST33,2
2925,169,14,323,76,3104,230,245,143,3348,WA1,ST30,2
3189,158,10,0,0,5421,231,242,141,1050,WA1,ST29,1
2768,73,12,470,50,1584,234,217,113,2868,WA1,ST12,2
3092,257,13,391,47,5824,190,247,195,1856,WA1,ST22,2
2887,333,18,108,24,1660,176,214,176,2419,WA3,ST33,2
2889,111,6,0,0,3266,230,234,137,1482,WA1,ST23,1
2479,334,8,120,28,721,202,229,167,1216,WA4,ST6,6
2806,106,18,85,22,1445,248,215,89,1806,WA3,ST11,2
2873,110,13,30,5,1590,243,225,108,2263,WA3,ST23,1
3076,26,16,90,5,3499,211,204,125,1388,WA3,ST31,1
2312,103,15,277,50,67,244,220,101,180,WA4,ST11,3
2998,274,10,598,131,5711,194,243,188,4137,WA1,ST29,2
2996,204,13,339,103,2206,213,251,171,1165,WA3,ST33,2
3419,66,17,42,0,1848,234,205,97,2012,WA2,ST39,7
2343,117,19,342,150,960,249,219,91,1390,WA4,ST6,4
2973,23,8,228,40,1840,216,223,144,2563,WA3,ST23,2
3208,354,11,361,33,1590,201,220,157,2094,WA2,ST23,2
2752,233,37,150,92,1595,134,242,223,1441,WA3,ST4,2
2774,146,24,201,91,1301,244,229,99,750,WA3,ST32,2
2493,306,25,240,116,819,145,217,209,1517,WA4,ST10,2
2750,336,14,150,50,1167,188,220,171,2073,WA3,ST33,2
2884,21,19,0,0,1480,205,197,124,1061,WA3,ST31,2
3011,347,16,589,116,1115,187,212,162,1892,WA3,ST33,2
3168,355,19,571,-22,3678,184,202,153,2929,WA1,ST30,1
3085,25,14,95,14,3422,212,208,130,1401,WA3,ST31,1
2917,65,9,212,27,2012,229,222,126,953,WA3,ST32,2
3301,25,12,212,98,4838,214,215,135,153,WA1,ST22,1
2954,145,4,150,8,5220,225,239,149,2188,WA1,ST23,1
3103,58,4,42,0,2835,223,230,143,3164,WA3,ST31,2
3133,118,19,361,158,2097,249,219,91,3780,WA1,ST29,1
2544,251,26,285,45,2383,153,247,225,552,WA3,ST4,3
2988,255,11,664,90,5918,194,247,191,5962,WA1,ST29,2
3036,227,8,335,69,4497,209,248,175,1710,WA1,ST29,2
2939,126,9,216,-5,5923,235,234,130,3403,WA1,ST30,2
2695,170,11,108,34,2120,228,245,148,1731,WA1,ST30,2
3103,0,21,85,7,4263,184,196,145,2974,WA1,ST29,1
2888,1,10,175,4,1549,206,222,153,2795,WA3,ST11,2
3190,108,2,256,2,5647,223,236,149,3007,WA1,ST23,2
3153,336,20,295,14,2322,170,207,174,408,WA3,ST33,1
2535,39,7,256,13,1224,221,225,140,4189,WA1,ST18,2
2406,321,28,170,82,234,137,200,196,295,WA4,ST10,3
2473,332,16,85,23,210,182,218,175,190,WA4,ST10,2
2874,101,16,212,38,2474,245,217,97,2197,WA1,ST29,2
2015,33,28,85,50,127,203,167,85,67,WA4,ST1,3
3204,99,10,469,56,5859,237,226,119,1731,WA1,ST29,1
2366,113,6,134,-3,430,231,234,136,760,WA3,ST2,3
3046,318,19,150,38,558,168,220,190,1711,WA3,ST22,1
3169,93,15,95,20,912,242,215,99,2191,WA2,ST23,1
3077,90,9,430,-105,1754,233,227,125,1275,WA1,ST23,1
3282,161,18,782,68,671,235,241,130,2809,WA3,ST13,2
2844,176,15,511,108,1384,226,247,149,663,WA3,ST34,2
2949,341,17,108,7,4702,182,212,168,2325,WA1,ST29,2
2481,299,6,182,38,331,203,238,174,1847,WA4,ST6,3
3346,343,20,474,116,4923,176,205,166,2972,WA3,ST38,1
3093,284,31,510,182,5591,120,222,234,1142,WA1,ST29,2
2980,213,10,382,81,3750,211,250,174,939,WA1,ST12,2
3114,36,14,836,1,2089,218,207,122,3059,WA3,ST31,1
3190,180,19,256,89,2940,223,248,149,942,WA3,ST33,1
3113,73,19,124,20,2987,238,202,87,5534,WA1,ST29,1
3321,141,10,497,66,1448,235,237,132,2764,WA1,ST29,1
2954,179,16,700,122,591,225,248,151,1552,WA3,ST4,5
2976,71,19,309,56,1900,237,200,87,1385,WA3,ST31,1
2671,68,16,127,19,1242,235,205,97,864,WA3,ST33,2
3525,105,26,836,240,2301,253,197,55,1423,WA1,ST40,1
2677,95,19,335,77,1290,247,208,82,2366,WA1,ST30,2
3094,14,4,466,9,1159,216,231,153,1230,WA2,ST23,2
2943,84,27,342,169,4267,246,182,47,779,WA1,ST29,2
2860,304,11,30,10,3909,190,234,185,6043,WA1,ST20,2
3025,5,3,0,0,938,216,234,155,2184,WA1,ST29,2
3245,162,15,350,43,2676,233,243,136,1176,WA3,ST33,2
3195,108,8,85,-15,4100,233,232,130,3337,WA1,ST29,1
2989,100,11,134,16,2713,238,226,118,210,WA1,ST29,1
2791,347,17,150,42,3480,186,211,162,5821,WA1,ST29,2
2941,241,2,30,1,1758,214,241,164,309,WA3,ST32,2
3111,43,11,218,32,5009,222,216,127,1084,WA1,ST29,2
3266,341,11,361,87,2634,197,224,165,2457,WA3,ST24,1
3167,68,18,216,22,1475,236,200,89,1682,WA3,ST31,1
2933,247,18,604,220,484,179,251,207,1719,WA3,ST4,2
3380,338,15,558,165,4881,186,217,170,2950,WA3,ST38,1
2531,55,26,210,79,540,225,174,66,674,WA3,ST33,2
2820,243,17,60,7,1222,184,251,203,295,WA3,ST13,1
2954,201,9,782,109,2746,216,248,167,1621,WA3,ST26,2
3259,345,23,134,-4,2012,170,198,163,1594,WA3,ST39,1
3167,140,18,577,88,390,244,232,111,1966,WA3,ST23,2
3297,335,21,540,146,2975,167,207,176,642,WA3,ST24,1
3087,352,18,180,30,313,187,208,157,1173,WA1,ST22,2
3003,131,14,811,208,2850,242,232,117,1077,WA3,ST34,2
2785,222,11,90,8,2416,206,251,180,2635,WA1,ST30,1
3100,101,16,0,0,1384,245,216,95,1279,WA1,ST29,2
3052,348,9,90,16,3216,203,225,161,376,WA1,ST29,1
2528,120,16,90,-21,1358,246,225,103,1421,WA3,ST4,3
3093,28,23,484,71,2669,203,182,105,1440,WA3,ST33,1
2860,347,26,108,27,875,161,188,159,1481,WA3,ST24,2
2810,114,9,361,14,2372,236,231,125,1464,WA1,ST29,2
3178,351,9,365,41,1950,205,226,159,713,WA3,ST23,1
3101,42,22,437,182,2268,218,187,95,2356,WA3,ST33,1
2817,64,18,90,26,2650,233,200,92,2764,WA1,ST12,2
3016,18,18,794,147,2472,203,199,129,1590,WA3,ST24,2
2987,66,9,30,7,1116,229,223,127,2107,WA3,ST32,1
2752,70,15,134,-14,300,235,210,103,1026,WA1,ST23,2
2962,65,7,124,30,4327,227,226,134,5594,WA1,ST29,2
2562,124,10,127,17,564,238,233,125,1261,WA1,ST9,2
2901,45,14,153,31,1802,223,209,117,2902,WA3,ST33,2
3233,183,16,175,0,3361,222,249,155,780,WA3,ST33,2
3221,108,10,525,106,4992,238,228,120,2514,WA1,ST22,2
3047,175,3,30,2,2892,221,240,156,582,WA1,ST19,2
2845,179,15,212,88,2289,225,248,151,592,WA3,ST33,5
